UF;GEOC_UF;pavimentada_2010;não-pavimentada_2010;pavimentada_2011;não-pavimentada_2011;pavimentada_2012;não-pavimentada_2012;pavimentada_2013;não-pavimentada_2013;pavimentada_2014;não-pavimentada_2014;pavimentada_2015;não-pavimentada_2015;pavimentada_2016;não-pavimentada_2016;pavimentada_2017;não-pavimentada_2017
Acre;12;1565,4;7347,2;1560,5;7351,7;1487,7;7288,7;1487,7;7288,7;1487,7;7288,7;1498,2;7318,7;1490;7324,9;1491,4;7323,5
Alagoas;27;2472,3;10747;2472,3;10747;2450,9;10747;2450,9;10747;2450,9;10747;2383,5;10744,6;2582,8;10551,6;2562;10551,6
Amapá;16;473,5;1823,5;473,5;1823,5;473,5;1823,5;473,5;1823,5;473,5;1823,5;528,1;1769,3;528,1;1769,3;528,1;1769,3
Amazonas;13;1872,6;4410,5;1872,6;4410,5;2165,8;4007;2165,8;4007;2165,8;4007;2157;3834,3;2157;3886,1;2229,6;3813,5
Bahia;29;15092,7;114435,8;15289;114226,2;13715,1;113631,7;13789,2;113554,1;14216,3;113570,5;16284,5;111680,5;4215,2;920,8;16329,8;111656,1
Ceará;23;8374,1;43413,6;8383;43417,1;8216,8;43254,7;8216,8;43254,7;8325,8;43195,7;8645,3;42886,9;8677,6;42854,6;8681,3;42859,6
Distrito Federal;53;973,7;551,6;974,4;551,6;829,9;543,6;829,9;543,6;829,9;543,6;908;498,3;908;498,3;911,96;498,3
Espírito Santo;32;3538,7;27254,7;3538,7;27254,7;3478,7;27142,1;3478,7;27142,1;3478,9;27142,1;3935,3;26760,1;3936;26760,1;3936,1;26760,1
Goiás;52;12495,2;75363,4;12539,8;75320,2;11108,2;74984,2;11155,2;74933,6;11155,2;74933,6;12760,6;73885;12770,9;73840,2;12786,4;73867,4
Maranhão;21;7304,2;48376,4;7304,2;48376,4;6882,1;48239,4;6796,2;48239,4;6796,2;48239,4;6831,3;47941,4;6872,3;47901,1;6872,9;47900,5
Mato Grosso;51;7804,8;54714,4;7804,8;54714,4;7974,3;54201,3;7978;54201,3;8008,6;54396,7;7981,7;54632,8;8052,2;54617,5;8076,2;54388,4
Mato Grosso do Sul;50;7341,8;27751;7646,6;27482;7345,5;26645,2;7345,5;26645,2;7615;27061,7;8486,5;28066,8;8490,5;28062,8;8485,7;28062,3
Minas Gerais;31;25485,7;247631;25993,2;247243,6;22993;246546,1;22996,7;246542,1;23130,3;246487;25850,5;245088,3;26125,6;245019,5;26225,8;244933,8
Pará;15;4591,6;31098,3;4690,5;31000,3;5539;30472,3;5539;30472,3;5738,7;30275,8;5738,7;30917,1;5751,1;30917,1;6072,2;30601,4
Paraíba;25;3691,2;31669,5;3708,9;31651,5;3518,1;31316,2;3524,3;31310;3524,4;31313,3;3787,6;31122,5;3820,8;31119,6;3819,8;31119,6
Paraná;41;20277,2;98330,7;20277,2;98330,7;19343,3;98172,9;19343,3;98172,9;19362,9;98154,8;19581,4;98043,1;19663,1;98043,1;19664,4;98001,9
Pernambuco;26;6909,8;36931,8;6909,8;36931,8;6827,5;36931,8;6827,5;36931,8;6827,5;36931,8;7014,5;37063,4;7115,8;36954,7;7115,8;36954,7
Piauí;22;5460,7;52551,7;5493,5;52224,3;6557,7;50498,6;6557,7;50498,6;6617;50462,3;7517,8;50039,2;7533,8;50023,2;7664,1;49893
Rio de Janeiro;33;7418,9;15600,2;7422,8;15596,9;6918,2;15505,7;6918,2;15505,7;6918,2;15505,7;7377,9;15389,5;7377,9;15380,2;7377,45;15380,2
Rio Grande do Norte;24;4669,1;22931;4667,3;22930,3;4369;22864,2;4369;22864,2;4376,5;22864,2;4570,1;22892;4593,6;22868,5;4699,6;22751,9
Rio Grande do Sul;43;12169,6;141412;12433,5;141198,2;10979,6;140586,1;11056,3;140514,7;11078,4;140493,8;11357,3;139763,6;11613,9;139495,5;11492,5;139459,6
Rondônia;11;2517,3;20607,2;2565,1;20556,2;2708,7;20279,5;2708,7;20279,5;2708,7;20279,5;3221,2;19965,2;3287,9;19948,8;3266,1;20085,5
Roraima;14;1127;6081,3;1127;6081,3;1468,6;6114,4;1461,1;6121,9;1464,3;6118,7;1461,7;6082,3;1461,7;6082,3;1507,7;6036,3
Santa Catarina;42;7691,9;55034,6;7694,1;55034,6;6995,8;54759,7;6995,8;54759,7;7067,3;54769,7;7056,1;54279,3;7165,5;54149,3;7165,5;54149,3
São Paulo;35;33450,6;165195,9;33582,7;165195,9;29244,5;165036;29244,5;165036;29245,7;165036;24977,5;164718,2;24977,5;164718,2;24980,9;164714,8
Sergipe;28;2160,7;3229,1;2160,7;3229,1;2160,7;3229,1;2160,7;3229,1;2160,7;3229,1;2276;3011,4;2353,6;2933,8;2353,6;2933,8
Tocantins;17;5807,7;23733,4;5827,8;23698,2;6637,6;24239,6;6718,9;24174,1;6718,9;24174,1;7280;23584,3;7294,6;23533,8;7293,6;23552,4
